"Date","Android","iOS","Linux","Windows","BlackBerry OS","webOS","Other"
2019-09,46.5,53.22,0.19,0.04,0,0.03,0
2019-10,52.24,47.34,0.22,0.15,0,0.04,0
2019-11,52.35,47.36,0.23,0.04,0.01,0.01,0
2019-12,54,45.76,0.19,0.04,0,0,0
2020-01,55.11,44.64,0.19,0.05,0,0,0
2020-02,53.8,45.92,0.2,0.05,0.01,0,0.01
2020-03,58.91,40.88,0.15,0.05,0.01,0,0.01
2020-04,58.85,40.87,0.13,0.05,0.05,0.03,0.02
2020-05,61.38,38.42,0.1,0.03,0.05,0.02,0.01
2020-06,61.84,38.02,0.06,0.03,0.03,0.01,0
2020-07,61.62,38.27,0.04,0.03,0.03,0.01,0
2020-08,61.28,38.59,0.06,0.03,0.03,0.01,0.01
2020-09,61.67,38.24,0.04,0.02,0.02,0,0
