,message,toxic,severe_toxic,obscene,threat,insult,identity_hate
996,don't you dare talk shit about Shocknomadic you RAT cunt mogRage,1,0,1,0,0,0
1056,"""Sou suck dick and balls""",1,0,1,0,0,0
1295,"@keckzn have a time out, come back when you're done saying dumb shit",1,0,0,0,0,0
1550,Fucking troll,1,0,1,0,0,0
1635,wat the hell is he doin LUL,1,0,0,0,0,0
1646,SUCK,1,0,1,0,0,0
1756,what a dick,1,0,0,0,0,0
2090,the shit-hawks are flyin rand,1,0,1,0,0,0
2100,stupid cheaters,1,0,0,0,1,0
2308,Shit.,1,0,1,0,0,0
2455,you asshole,1,0,1,0,1,0
2549,i play for 24hrs fuck streaming it tho KEKW,1,0,1,0,0,0
2620,Fuck that,1,0,1,0,1,0
2631,No jersey mikes the fuck?,1,0,1,0,0,0
2824,Its a shit situation!,1,0,0,0,0,0
2962,They're all fucking dodgy bastards!,1,0,1,0,1,0
3304,"she's listening through the door, shut the fuck up dad",1,0,0,0,0,0
3455,well his nade was shit LUL,1,0,1,0,0,0
3606,I'll never understand the 2Heads that come into streams and say 2Head shit like that.,1,0,0,0,0,0
3622,hey I can't control spray worth shit but I do'nt say that - dumb idiots say that!,1,0,0,0,0,0
3624,"i dont say that, and i cant shoot for shit KEKW",1,0,0,0,0,0
3745,STOP DOING WHAT I THINK IS SHIT STREAMER,1,0,0,0,0,0
3772,"How the fuck you getting so many frames, my fps is fucked on this game atm",1,0,1,0,0,0
3781,"quirky and unforgiving for some people means ""shit""",1,0,0,0,0,0
3911,"I saw his name in the kill feed, told him oh fuck DrasseLs in the game, he was like Who the fuck is DrasseL. And his head got scooped off",1,0,1,0,0,0
4406,twitch is fucking,1,0,1,0,1,0
4436,Murica fuck yeee,1,0,1,0,1,0
4813,i like how you dont talk shit about your dick neighbour cause he prob gonna rewatch your stream,1,0,0,0,0,0
4873,the fucking grass man,1,0,1,0,1,0
4884,new ruins is ass too,1,0,1,0,0,0
7160,Come the fuck on,1,0,1,0,0,0
7224,youll get bit in the hamily for stupid shit like that....wrong yard with those words,1,0,1,0,0,0
7642,holy shit,1,0,0,0,0,0
7654,holy shit subs,1,0,0,0,0,0
8108,shit winds are acomin'!,1,0,1,0,0,0
8799,high key this guy is scaryin the fuck ouutta me,1,0,1,0,0,0
8932,“Personally i’d rather fuck a moose”- Canadian Mountie,1,0,1,0,0,0
9353,fucking illogical babies.,1,0,1,0,0,0
9365,@guccixslaya cheaters suck hard tho,1,0,0,0,0,0
9493,"WTF is wrong with people who play solos. HOLY FUCK, JUST fucking PEAK me!!!",1,0,1,0,0,0
9557,how the fuck that last bullet didn't kill you,1,0,0,0,0,0
9678,I love and hate you thirsty ass.,1,0,0,0,0,0
9887,powerwash that ass,1,0,1,0,0,0
9923,if u got hemoroids u cant wipe that shit like sandpaper,1,0,1,0,0,0
9927,yeah some people eat ass,1,0,0,0,0,0
9956,they dont have an ass just a hole,1,0,0,0,0,0
9974,wreck his fucking ass grizz,1,0,1,0,1,0
10050,hey fuck off @lob_bene,1,0,1,0,1,0
10167,!redeem gay,1,0,0,0,0,0
10450,ravaged asshole,1,0,1,0,1,0
10498,no not bull shit,1,0,0,0,0,0
10510,ive eaten tons of mushrooms and all it does it melow you out or you laugh at stupid shit,1,0,0,0,0,0
10736,Sometimes @Grizz sticks a bottle in his ass.. LUL,1,0,1,0,0,0
10822,@grizz you handsome as fuck #nnotroll,1,0,1,0,1,0
10870,@xQUATTROxTECHx916x got that shit memorized,1,0,1,0,0,0
11069,griZzBADASSOVERHERE bad ass over here,1,0,1,0,0,0
11177,what in the actual fuck,1,0,1,0,0,0
11200,@TameTubesteak LUL Must have been Idaho or some shit,1,0,1,0,0,0
11215,fuck sakes man,1,0,1,0,1,0
11346,wtf is this nice @Grizz shit,1,0,0,0,0,0
11360,what the hell??,1,0,0,0,0,0
11410,oh fuck,1,0,1,0,1,0
11425,what the fuck,1,0,1,0,1,0
11514,"@RoLex_100, you successfully redeemed Fucking Streamers for 7500 Honeycombs. elementsOkay",1,0,1,0,0,0
11521,"@swkracelottv, Fucking Streamers costs 7500 Honeycombs, you only have 1150.",1,0,1,0,0,0
11638,these guys emoting and shit jesus,1,0,0,0,0,0
11856,shit looks stupid lol,1,0,1,0,1,0
11976,i need to see clib clutch this shit,1,0,1,0,0,0
11997,Clib is a fucking beast,1,0,1,0,0,0
12093,what the fuck ibi keep the roasts off stream valleuC2,1,0,1,0,0,0
12181,They said fuck ibi,1,0,1,0,1,0
12399,WHAT THE FUCK KIND OF CARNAGE IS THIS KEKW,1,0,1,0,1,0
12553,but how the fuck do you remember mannnnnnn,1,0,1,0,0,0
12569,madar bitch don't kill us,1,0,0,0,0,0
12673,oh shit,1,0,1,0,0,0
12833,Taking a shit ehun ehun ehun ehun,1,0,0,0,0,0
12893,dont fuck this up @Grizz,1,0,1,0,1,0
12958,@warm_gazpacho WHAT IN THE FUCK,1,0,1,0,1,0
12960,Welcome to the shit @milamie,1,0,1,0,0,0
12963,Pita you trying to fuck?,1,0,1,0,1,0
12973,ahh shit lagging,1,0,1,0,0,0
13118,@VVink75 who is grizz? i'll tell you who's grizz. grizz is a fucking baws,1,0,1,0,0,0
13121,oh fuck,1,0,1,0,1,0
13137,fuck no,1,0,1,0,1,0
13174,What in the fuck,1,0,1,0,1,0
13182,"go to josh's guy, he'll fuck your hair up like he does josh",1,0,1,0,0,0
13247,"i hate the camps, i always come out with shit loot",1,0,0,0,0,0
13265,FUCKING BLUE BALLS,1,0,1,0,0,0
13415,the hell was that,1,0,0,0,0,0
13448,Shootin the shit smokin sum herb,1,0,0,0,0,0
13450,a shit zoo,1,0,1,0,0,0
13479,Stupid decisions mean stupid result,1,0,0,0,0,0
13530,I’m hungry as fuck but stuck at work,1,0,1,0,0,0
13532,in and out sucks COCK,1,0,0,0,0,0
13538,Jesus fuck. This map,1,0,1,0,0,0
13631,McDonald's nuggets suck,1,0,1,0,0,0
13658,grizz gonna take a shit,1,0,1,0,0,0
13670,ohh shit,1,0,1,0,0,0
13688,grizz just starting shit over here,1,0,0,0,0,0
13694,@churro_mania fuck yea it does,1,0,1,0,0,0
13737,"hell yeah man, love that shit",1,0,1,0,0,0
13800,fuck you thunder!,1,0,1,0,1,0
13801,you can suck my dick,1,0,1,0,0,0
13809,"hey grizz, those are the lyrics to fuck you thunder. dont suck anything",1,0,1,0,1,0
13840,eggs are the nastiest shit in the world,1,0,1,0,0,0
13847,fucking,1,0,1,0,1,0
13898,this map is dog shit for squads. absolute dog shit,1,0,0,0,0,0
13921,oh shit my boy is bigtime,1,0,0,0,0,0
13954,Have you tried sleeping ass up?,1,0,0,0,0,0
14100,"ass, grass, or pizaz",1,0,1,0,0,0
14101,Ass to mouth,1,0,0,0,0,0
14126,@SimmaDownNow1 dunno... GrandpaGamer is fucking old as shit... lol,1,0,1,0,0,0
14252,ohh shit summit retired ?,1,0,0,0,0,0
14290,And his big ass head,1,0,1,0,0,0
14319,I fuck you bloody!,1,0,1,0,0,0
14320,fuck you bloody!,1,0,1,0,0,0
14349,some viking shit,1,0,1,0,0,0
14438,"mini shots like fucking tig, those guys are fucking tanks!",1,0,1,0,0,0
14445,holy fuck ur insane,1,0,1,0,0,0
14467,fucking great stuff,1,0,1,0,0,0
14500,Good shit,1,0,1,0,0,0
14534,Labs are the fucking shit,1,0,1,0,1,0
14649,fucking owning,1,0,1,0,1,0
14661,Yeah fuck that kid bro,1,0,1,0,0,0
14673,this is a game about killing people.... fuck em all,1,0,0,0,0,0
14695,!REDEEM GAY,1,0,0,0,0,0
14701,they fuck each other in the locker room?,1,0,1,0,0,0
14727,!gay,1,0,0,0,0,0
14908,"Oh fuck, we say fuck here? I've just been saying veryhaFrick",1,0,1,0,0,0
14955,oh shit man... great stuff!,1,0,0,0,0,0
15059,Let me slap his ass with my dick,1,0,1,0,0,0
15151,oh shit BibleThump,1,0,1,0,0,0
15444,ello everyone. hows it fucking going,1,0,1,0,1,0
15455,ITS GOING FUCKING GOOD TOM,1,0,0,0,0,0
15456,"@Tomshepmx going fucking great, you mate?",1,0,0,0,0,0
15459,@kezzran good shit kezz lad. ye not fucking bad.,1,0,1,0,0,0
15493,Fuck im procrastinating taking a wall out in my bedroom,1,0,1,0,0,0
15601,aint nuttin to fuck wit,1,0,1,0,0,0
15770,@skorpi0naexcj How did you fuck your stream snipe up that bad?,1,0,1,0,0,0
15950,Start with this and upgrade if it's shit,1,0,0,0,0,0
16066,fucking duct tape it,1,0,1,0,0,0
16132,FUCK,1,0,1,0,1,0
