"Date","Android","iOS","Samsung","Windows","Unknown","Series 40","Other"
2019-09,85.57,13.79,0.1,0.37,0.03,0.05,0.08
2019-10,87.86,11.36,0.31,0.31,0.04,0.04,0.07
2019-11,86.34,12.86,0.39,0.29,0.04,0.03,0.06
2019-12,87.95,11.65,0.09,0.2,0.03,0.02,0.05
2020-01,87.26,12.38,0.09,0.17,0.02,0.02,0.06
2020-02,87.33,12.31,0.1,0.18,0.01,0.01,0.06
2020-03,86,13.68,0.12,0.16,0.01,0,0.02
2020-04,88.92,10.84,0.08,0.09,0.02,0,0.04
2020-05,85.17,14.61,0.1,0.05,0.02,0,0.04
2020-06,87.35,12.47,0.11,0.04,0.01,0,0.02
2020-07,85.95,13.83,0.16,0.03,0.01,0,0.02
2020-08,85.26,14.5,0.16,0.04,0.01,0,0.02
2020-09,85.4,14.38,0.14,0.04,0.01,0,0.02
